category,laureate_id,laureate_name,prize_year,decade,pub_year,title,paper_id,is_prize_winning_paper,author_count
Physics,10001,"thouless, dj",2016,2010,1973.0,ordering metastability and phase transitions in two dimensional systems,2086860422.0,YES,2
Physics,10002,"kosterlitz, jm",2016,2010,1973.0,ordering metastability and phase transitions in two dimensional systems,2086860422.0,YES,2
Physics,10003,"haldane, fdm",2016,2010,1983.0,nonlinear field theory of large spin heisenberg antiferromagnets semiclassically quantized solitons of the one dimensional easy axis neel state,2113166233.0,YES,1
Physics,10004,"kajita, t",2015,2010,1998.0,evidence for oscillation of atmospheric neutrinos,2134803267.0,YES,100
Physics,10005,"mcdonald, ab",2015,2010,2002.0,direct evidence for neutrino flavor transformation from neutral current interactions in the sudbury neutrino observatory,1983987483.0,YES,100
Physics,10005,"mcdonald, ab",2015,2010,2001.0,measurement of the rate of ve d p p e interactions produced by 8b solar neutrinos at the sudbury neutrino observatory,2137229134.0,YES,100
Physics,10006,"akasaki, isamu",2014,2010,1989.0,p type conduction in mg doped gan treated with low energy electron beam irradiation leebi,2069099261.0,YES,4
Physics,10007,"amano, hiroshi",2014,2010,1989.0,p type conduction in mg doped gan treated with low energy electron beam irradiation leebi,2069099261.0,YES,4
Physics,10008,"nakamura, shuji",2014,2010,1994.0,candela class high brightness ingan algan double heterostructure blue light emitting diodes,2054227182.0,YES,3
Physics,10009,"englert, f",2013,2010,1964.0,broken symmetry and the mass of gauge vector mesons,2045120204.0,YES,2
Physics,10010,"higgs, pw",2013,2010,1964.0,broken symmetries massless particles and gauge fields,2223433365.0,YES,1
Physics,10010,"higgs, pw",2013,2010,1964.0,broken symmetries and the masses of gauge bosons,1996413343.0,YES,1
Physics,10011,"haroche, serge",2012,2010,1996.0,quantum rabi oscillation a direct test of field quantization in a cavity,2025623691.0,YES,7
Physics,10011,"haroche, serge",2012,2010,1996.0,observing the progressive decoherence of the meter in a quantum measurement,2091261194.0,YES,8
Physics,10012,"wineland, david",2012,2010,1995.0,demonstration of a fundamental quantum logic gate,1966533239.0,YES,5
Physics,10012,"wineland, david",2012,2010,1996.0,generation of nonclassical motional states of a trapped atom,2040136860.0,YES,5
Physics,10012,"wineland, david",2012,2010,1996.0,a schrodinger cat superposition state of an atom,2081210383.0,YES,4
Physics,10013,"perlmutter, s",2011,2010,1998.0,discovery of a supernova explosion at half the age of the universe,2289091855.0,YES,22
Physics,10014,"schmidt, bp",2011,2010,1998.0,observational evidence from supernovae for an accelerating universe and a cosmological constant,2073832139.0,YES,20
Physics,10015,"riess, adam g.",2011,2010,1998.0,observational evidence from supernovae for an accelerating universe and a cosmological constant,2073832139.0,YES,20
Physics,10016,"novoselov, kostya s.",2010,2010,2004.0,electric field effect in atomically thin carbon films,2058122340.0,YES,8
Physics,10017,"geim, andre k.",2010,2010,2004.0,electric field effect in atomically thin carbon films,2058122340.0,YES,8
Physics,10018,"kao, kc",2009,2000,1966.0,dielectric fibre surface waveguides for optical frequencies,2159795626.0,YES,2
Physics,10019,"boyle, ws",2009,2000,1970.0,charge coupled semiconductor devices,2113742150.0,YES,2
Physics,10020,"smith, ge",2009,2000,1970.0,charge coupled semiconductor devices,2113742150.0,YES,2
Physics,10021,"nambu, yoichiro",2008,2000,1960.0,quasi particles and gauge invariance in the theory of superconductivity,1965850850.0,YES,1
Physics,10021,"nambu, yoichiro",2008,2000,1961.0,dynamical model of elementary particles based on an analogy with superconductivity ii,1998909324.0,YES,2
Physics,10021,"nambu, yoichiro",2008,2000,1960.0,axial vector current conservation in weak interactions,2085522314.0,YES,1
Physics,10022,"kobayash, m",2008,2000,1973.0,cp violation in the renormalizable theory of weak interaction,2169090745.0,YES,2
Physics,10023,"maskawa, t",2008,2000,1973.0,cp violation in the renormalizable theory of weak interaction,2169090745.0,YES,2
Physics,10024,"fert, a",2007,2000,1988.0,giant magnetoresistance of 001 fe 001 cr magnetic superlattices,1965245884.0,YES,9
Physics,10025,"grunberg, p",2007,2000,1986.0,layered magnetic structures evidence for antiferromagnetic coupling of fe layers across cr interlayers,2024347200.0,YES,5
Physics,10026,"mather, jc",2006,2000,1990.0,a preliminary measurement of the cosmic microwave background spectrum by the cosmic background explorer cobe satellite,2079724444.0,YES,21
Physics,10027,"smoot, gf",2006,2000,1992.0,cobe differential microwave radiometers preliminary systematic error analysis,1986563620.0,YES,28
Physics,10028,"glauber, rj",2005,2000,1963.0,coherent and incoherent states of the radiation field,2228259595.0,YES,1
Physics,10028,"glauber, rj",2005,2000,1963.0,the quantum theory of optical coherence,2592799394.0,YES,1
Physics,10029,"hall, jl",2005,2000,2000.0,carrier envelope phase control of femtosecond mode locked lasers and direct optical frequency synthesis,2116393805.0,YES,7
Physics,10029,"hall, jl",2005,2000,2000.0,direct link between microwave and optical frequencies with a 300 thz femtosecond laser comb,2003141184.0,YES,10
Physics,10030,"hansch, tw",2005,2000,2000.0,direct link between microwave and optical frequencies with a 300 thz femtosecond laser comb,2003141184.0,YES,10
Physics,10030,"hansch, tw",2005,2000,2002.0,quantum phase transition from a superfluid to a mott insulator in a gas of ultracold atoms,2007391198.0,YES,5
Physics,10030,"hansch, tw",2005,2000,2002.0,collapse and revival of the matter wave field of a bose einstein condensate,2042827511.0,YES,4
Physics,10031,"wilczek, f",2004,2000,1973.0,ultraviolet behavior of non abelian gauge theories,2045472496.0,YES,2
Physics,10032,"gross, dj",2004,2000,1973.0,ultraviolet behavior of non abelian gauge theories,2045472496.0,YES,2
Physics,10033,"politzer, hd",2004,2000,1973.0,reliable perturbative results for strong interactions,2055032269.0,YES,1
Physics,10034,"abrikosov, aa",2003,2000,1957.0,magnetic properties of superconductors of the second group,1551093215.0,YES,
Physics,10035,"leggett, aj",2003,2000,1983.0,quantum tunnelling in a dissipative system,2009902266.0,YES,2
Physics,10035,"leggett, aj",2003,2000,1974.0,the spin dynamics of an anisotropic fermi supefluid 3he,2066009244.0,YES,1
Physics,10035,"leggett, aj",2003,2000,1970.0,can a solid be superfluid,2072230004.0,YES,1
Physics,10035,"leggett, aj",2003,2000,1972.0,interpretation of recent results on sup 3 he below 3 mk a new liquid phase,2078803329.0,YES,1
Physics,10035,"leggett, aj",2003,2000,1965.0,theory of a superfluid fermi liquid i general formalism and static properties,2086145101.0,YES,1
Physics,10036,"ginzburg, vl",2003,2000,1950.0,On the Theory of superconductivity(In Russian),,YES,
Physics,10037,"koshiba, m",2002,2000,1998.0,evidence for oscillation of atmospheric neutrinos,2134803267.0,YES,100
Physics,10037,"koshiba, m",2002,2000,1987.0,observation of a neutrino burst from the supernova sn1987a,2068718327.0,YES,23
Physics,10038,"giacconi, r",2002,2000,1962.0,evidence for x rays from sources outside the solar system,2029634216.0,YES,4
Physics,10039,raymond davis jr.,2002,2000,1968.0,search for neutrinos from the sun,2023878063.0,YES,3
Physics,10040,"cornell, ea",2001,2000,1995.0,observation of bose einstein condensation in a dilute atomic vapor,1991602497.0,YES,5
Physics,10041,"ketterle, w",2001,2000,1995.0,bose einstein condensation in a gas of sodium atoms,2132639490.0,YES,7
Physics,10042,"wiemann, ce",2001,2000,1995.0,observation of bose einstein condensation in a dilute atomic vapor,1991602497.0,YES,5
Physics,10043,kroemer herbert ,2000,2000,1982.0,heterostructure bipolar transistors and integrated circuits,2154249635.0,YES,1
Physics,10044,"alferov, zi",2000,2000,1995.0,ultranarrow luminescence lines from single quantum dots,2071148840.0,YES,15
Physics,10044,"alferov, zi",2000,2000,1994.0,low threshold large to injection laser emission from inga as quantum dots,2078503440.0,YES,13
Physics,10045,"kilby, js",2000,2000,1976.0,invention of the integrated circuit,2015233893.0,YES,1
Physics,10046,"veltman, m",1999,1990,1972.0,regularization and renormalization of gauge fields,2125707848.0,YES,2
Physics,10047,"thooft, g",1999,1990,1972.0,regularization and renormalization of gauge fields,2125707848.0,YES,2
Physics,10048,"stormer, hl",1998,1990,1982.0,two dimensional magnetotransport in the extreme quantum limit,2006294391.0,YES,3
Physics,10049,"tsui, dc",1998,1990,1982.0,two dimensional magnetotransport in the extreme quantum limit,2006294391.0,YES,3
Physics,10050,"laughlin, rb",1998,1990,1983.0,anomalous quantum hall effect an incompressible quantum fluid with fractionally charged excitations,1963826472.0,YES,1
Physics,10051,"phillips, wd",1997,1990,1988.0,observation of atoms laser cooled below the doppler limit,2082337324.0,YES,6
Physics,10052,"cohentannoudji, c",1997,1990,1988.0,laser cooling below the one photon recoil by velocity selective coherent population trapping,2083763968.0,YES,5
Physics,10053,"chu, s",1997,1990,1986.0,observation of a single beam gradient force optical trap for dielectric particles,2113372755.0,YES,4
Physics,10054,"lee, dm",1996,1990,1972.0,evidence for a new phase of solid he 3,1985120730.0,YES,3
Physics,10054,"lee, dm",1996,1990,1972.0,new magnetic phenomena in liquidhe3below 3 mk,2320840978.0,YES,4
Physics,10055,"osheroff, dd",1996,1990,1972.0,evidence for a new phase of solid he 3,1985120730.0,YES,3
Physics,10056,"richards, rc",1996,1990,1972.0,evidence for a new phase of solid he 3,1985120730.0,YES,3
Physics,10056,"richards, rc",1996,1990,1972.0,new magnetic phenomena in liquidhe3below 3 mk,2320840978.0,YES,4
Physics,10057,"perl, ml",1995,1990,1974.0,discovery of a narrow resonance in e e annihilation,1985795857.0,YES,35
Physics,10057,"perl, ml",1995,1990,1974.0,the discovery of a second narrow resonance in e e annihilation,2035537487.0,YES,36
Physics,10057,"perl, ml",1995,1990,1975.0,evidence for anomalous lepton production in e e annihilation,2159227720.0,YES,36
Physics,10058,"reines, f",1995,1990,1953.0,detection of the free neutrino,2246644974.0,YES,2
Physics,10059,"shull, cg",1994,1990,1951.0,neutron diffraction by paramagnetic and antiferromagnetic substances,1970822797.0,YES,3
Physics,10060,"brockhouse, bn",1994,1990,1959.0,lattice vibrations in silicon and germanium,2014082198.0,YES,1
Physics,10060,"brockhouse, bn",1994,1990,1958.0,normal modes of germanium by neutron spectrometry,2065464894.0,YES,2
Physics,10061,"hulse, ra",1993,1990,1975.0,discovery of a pulsar in a binary system,2019709661.0,YES,2
Physics,10062,"taylor, jh",1993,1990,1975.0,discovery of a pulsar in a binary system,2019709661.0,YES,2
Physics,10063,"charpak, g",1992,1990,1968.0,the use of multiwire proportional counters to select and localize charged particles,2039785230.0,YES,5
Physics,10064,"degennes, pg",1991,1990,1974.0,coil stretch transition of dilute flexible polymers under ultrahigh velocity gradients,2148849027.0,YES,1
Physics,10065,"taylor, re",1990,1990,1969.0,high energy inelastic e p scattering at 6 degrees and 10 degrees,1497196551.0,YES,11
Physics,10065,"taylor, re",1990,1990,1968.0,electron proton elastic scattering at high momentum transfers,2014867412.0,YES,15
Physics,10065,"taylor, re",1990,1990,1969.0,observed behavior of highly inelastic electron proton scattering,2026217372.0,YES,9
Physics,10065,"taylor, re",1990,1990,1969.0,high energy inelastic e p scattering at 6 and 10,2087610997.0,YES,
Physics,10066,"friedman, ji",1990,1990,1969.0,high energy inelastic e p scattering at 6 degrees and 10 degrees,1497196551.0,YES,11
Physics,10066,"friedman, ji",1990,1990,1968.0,electron proton elastic scattering at high momentum transfers,2014867412.0,YES,15
Physics,10066,"friedman, ji",1990,1990,1969.0,observed behavior of highly inelastic electron proton scattering,2026217372.0,YES,9
Physics,10066,"friedman, ji",1990,1990,1969.0,high energy inelastic e p scattering at 6 and 10,2087610997.0,YES,
Physics,10067,"kendall, hw",1990,1990,1969.0,high energy inelastic e p scattering at 6 degrees and 10 degrees,1497196551.0,YES,11
Physics,10067,"kendall, hw",1990,1990,1968.0,electron proton elastic scattering at high momentum transfers,2014867412.0,YES,15
Physics,10067,"kendall, hw",1990,1990,1969.0,observed behavior of highly inelastic electron proton scattering,2026217372.0,YES,9
Physics,10067,"kendall, hw",1990,1990,1969.0,measurements of elastic electron deuteron scattering at high momentum transfers,2067610198.0,YES,8
Physics,10067,"kendall, hw",1990,1990,1969.0,high energy inelastic e p scattering at 6 and 10,2087610997.0,YES,
Physics,10068,"ramsey, nf",1989,1980,1950.0,magnetic shielding of nuclei in molecules,2012130053.0,YES,1
Physics,10069,"dehmelt, hg",1989,1980,1957.0,modulation of a light beam by precessing absorbing atoms,1968293554.0,YES,1
Physics,10069,"dehmelt, hg",1989,1980,1957.0,slow spin relaxation of optically polarized sodium atoms,1969076679.0,YES,1
Physics,10069,"dehmelt, hg",1989,1980,1958.0,spin resonance of free electrons polarized by exchange collisions,2013364211.0,YES,1
Physics,10070,"paul, w",1989,1980,1953.0,notizen ein neues massenspektrometer ohne magnetfeld,2087165126.0,YES,2
Physics,10071,"steinberger, j",1988,1980,1962.0,observation of high energy neutrino reactions and the existence of two kinds of neutrinos,2000744791.0,YES,7
Physics,10072,"schwartz, m",1988,1980,1962.0,observation of high energy neutrino reactions and the existence of two kinds of neutrinos,2000744791.0,YES,7
Physics,10073,"lederman, lm",1988,1980,1962.0,observation of high energy neutrino reactions and the existence of two kinds of neutrinos,2000744791.0,YES,7
Physics,10074,"muller, ka",1987,1980,1986.0,possible high tc superconductivity in the ba la cu o system,1485300768.0,YES,2
Physics,10075,"bednorz, jg",1987,1980,1986.0,possible high tc superconductivity in the ba la cu o system,1485300768.0,YES,2
Physics,10076,"binnig, g",1986,1980,1982.0,surface studies by scanning tunneling microscopy,2110167104.0,YES,4
Physics,10076,"binnig, g",1986,1980,1982.0,scanning tunneling microscopy,2412866415.0,YES,
Physics,10077,"rohrer, h",1986,1980,1982.0,surface studies by scanning tunneling microscopy,2110167104.0,YES,4
Physics,10078,"ruska, e",1986,1980,1932.0,beitrag zur geometrischen elektronenoptik ii,2120730528.0,YES,2
