source,target,weight
G. Ertl,"ertl, g",6
A. J. Leggett,"leggett, aj",5
Adolf Butenandt,"butenandt, a",5
B. Katz,"katz, b",5
Bengt Samuelsson,samuelss.b,5
David H. Hubel,"hubel, dh",5
David H. Hubel,"wiesel, tn",5
Herbert S. Gasser,"erlanger, j",5
Herbert S. Gasser,"gasser, hs",5
Joseph Erlanger,"erlanger, j",5
Joseph Erlanger,"gasser, hs",5
Richard F. Heck,"heck, r",5
Richard P. Feynman,"feynman, rp",5
Roald Hoffmann,"hoffmann, r",5
Frederick Sanger,"sanger, f",4
G. Herzberg,"herzberg, g.",4
George Wald,"wald, g",4
H. G. Khorana,"khorana, hg",4
Irving Langmuir,"langmuir, i",4
Ivar Giæver,"giaever, i",4
J. Friedman,"kendall, hw",4
Jacques Monod,"jacob, f",4
James E. Rothman,"rothman, je",4
Mats H¨¢mberg,samuelss.b,4
R. B. Woodward,"hoffmann, r",4
Ra?nar Granit,"granit, r",4
Roger Heim,"tsien, r",4
Roger Y. Tsien,"tsien, r",4
Rosalyn S. Yalow,"yalow, rs",4
Solomon A. Berson,"yalow, rs",4
Thomas C. S¨¹dhof,"sudhof, tc",4
A B Cubitt,"tsien, r",3
A. M. Boyarski,"perl, ml",3
Albert Claude,"claude, a",3
Alexis Carrel,"carrel, a",3
Andr¨¦ Cournand,"cournand, a",3
Andr¨¦ Cournand,"richards, dw",3
Arne Tiselius,"tiselius, a",3
Arthur H. Compton,"compton, ah",3
Arvid Carlsson,"carlsson, a",3
August Krogh,"krogh, a",3
B. A. Lulu,"perl, ml",3
B. E. King,"wineland, david",3
B. Jean-Marie,"perl, ml",3
B. Richter,"perl, ml",3
Barbara McClintock,"mcclintock, b",3
Baruj Benacerraf,benacerr.b,3
C. C. Morehouse,"perl, ml",3
C. De Duve,"duve, cd",3
C. E. Friedberg,"perl, ml",3
C. Monroe,"wineland, david",3
Cyril Norman Hinshelwood,"hinshelwood, c",3
D. Briggs,"perl, ml",3
D. Fryberger,"perl, ml",3
D. H. Coward,"friedman, ji",3
D. H. Coward,"kendall, hw",3
D. H. Coward,"taylor, re",3
D. J. Wineland,"wineland, david",3
D. Lyon,"perl, ml",3
D. M. Meekhof,"wineland, david",3
Dickinson W. Richards,"cournand, a",3
Dickinson W. Richards,"richards, dw",3
E. B. Chain,"chain, e",3
Eric Betzig,"betzig, e",3
Erwin Schrödinger,"schrodinger, e",3
F. Bulos,"perl, ml",3
F. Pierre,"perl, ml",3
F. Vannucci,"perl, ml",3
Francis Crick,"crick, fhc",3
Francis Crick,"watson, jd",3
Frederick Soddy,"soddy, f",3
G. Goldhaber,"perl, ml",3
G. H. Trilling,"perl, ml",3
G. Hanson,"perl, ml",3
G. J. Feldman,"perl, ml",3
G. S. Abrams,"perl, ml",3
H. DeStaebler,"friedman, ji",3
H. DeStaebler,"kendall, hw",3
H. DeStaebler,"taylor, re",3
H. Staudinger,"staudinger, h",3
Hans Dehmelt,"dehmelt, hg",3
Hartmut Michel,"michel, h",3
Henry W. Kendall,"friedman, ji",3
Henry W. Kendall,"kendall, hw",3
Henry W. Kendall,"taylor, re",3
J. A. Kadyk,"perl, ml",3
J. Friedman,"friedman, ji",3
J. Friedman,"taylor, re",3
J. M. Paterson,"perl, ml",3
J. S. Whitaker,"perl, ml",3
J. Wiss,"perl, ml",3
Konrad Lorenz,"lorenz, k",3
L. R??i?ka,"ruzicka, l",3
Liping Mo,"friedman, ji",3
Liping Mo,"kendall, hw",3
Liping Mo,"taylor, re",3
M. Breidenbach,"friedman, ji",3
M. Breidenbach,"kendall, hw",3
M. Breidenbach,"perl, ml",3
M. Breidenbach,"taylor, re",3
M. Calvin,"calvin, m",3
M. L. Perl,"perl, ml",3
Michael J. Smith,"smith, m",3
Murray Gell‐Mann,"gellmann, m",3
Niels Bohr,"bohr, n",3
P. A. Rapidis,"perl, ml",3
R. B. Woodward,"woodward, r",3
