laureate_a,laureate_b,laureate_a_category,laureate_b_category,laureate_a_prize_year,laureate_b_prize_year,earliest_prize_year,coop_weight_sum,sample_paper_count,sample_papers_json
"kajita, t","koshiba, m",Physics,Physics,2015,2002,2002,1,1,"[{""category"": ""Physics"", ""prize_year"": ""2002"", ""pub_year"": ""1987.0"", ""title"": ""observation of a neutrino burst from the supernova sn1987a"", ""paper_id"": ""2068718327.0"", ""doi"": ""10.1103/PhysRevLett.58.1490"", ""journal"": ""physical review letters""}]"
"kajita, t","reines, f",Physics,Physics,2015,1995,1995,1,1,"[{""category"": ""Physics"", ""prize_year"": ""2015"", ""pub_year"": ""1998.0"", ""title"": ""evidence for oscillation of atmospheric neutrinos"", ""paper_id"": ""2134803267.0"", ""doi"": ""10.1103/PhysRevLett.81.1562"", ""journal"": ""physical review letters""}]"
"akasaki, isamu","amano, hiroshi",Physics,Physics,2014,2014,2014,1,1,"[{""category"": ""Physics"", ""prize_year"": ""2014"", ""pub_year"": ""1989.0"", ""title"": ""p type conduction in mg doped gan treated with low energy electron beam irradiation leebi"", ""paper_id"": ""2069099261.0"", ""doi"": ""10.1143/JJAP.28.L2112"", ""journal"": ""japanese journal of applied physics""}]"
"steinberger, j","schwartz, m",Physics,Physics,1988,1988,1988,1,1,"[{""category"": ""Physics"", ""prize_year"": ""1988"", ""pub_year"": ""1962.0"", ""title"": ""observation of high energy neutrino reactions and the existence of two kinds of neutrinos"", ""paper_id"": ""2000744791.0"", ""doi"": ""10.1103/PhysRevLett.9.36"", ""journal"": ""physical review letters""}]"
"schawlow, al","townes, ch",Physics,Physics,1981,1964,1964,1,1,"[{""category"": ""Physics"", ""prize_year"": ""1981"", ""pub_year"": ""1958.0"", ""title"": ""infrared and optical masers"", ""paper_id"": ""1964347990.0"", ""doi"": ""10.1103/PhysRev.112.1940"", ""journal"": ""physical review""}]"
"wilson, rw","penzias, aa",Physics,Physics,1978,1978,1978,1,1,"[{""category"": ""Physics"", ""prize_year"": ""1978"", ""pub_year"": ""1965.0"", ""title"": ""a measurement of excess antenna temperature at 4080 mc s"", ""paper_id"": ""1997756830.0"", ""doi"": ""10.1086/148307"", ""journal"": ""the astrophysical journal""}]"
"schrieffer, jr","bardeen, j",Physics,Physics,1972,1972,1972,1,1,"[{""category"": ""Physics"", ""prize_year"": ""1972"", ""pub_year"": ""1957.0"", ""title"": ""theory of superconductivity"", ""paper_id"": ""2014437371.0"", ""doi"": ""10.1103/PhysRev.108.1175"", ""journal"": ""physical review""}]"
"bardeen, j","shockley, w",Physics,Physics,1972,1956,1956,1,1,"[{""category"": ""Physics"", ""prize_year"": ""1956"", ""pub_year"": ""1950.0"", ""title"": ""deformation potentials and mobilities in non polar crystals"", ""paper_id"": ""2067983335.0"", ""doi"": ""10.1103/PhysRev.80.72"", ""journal"": ""physical review""}]"
"kusch, p","rabi, ii",Physics,Physics,1955,1944,1944,1,1,"[{""category"": ""Physics"", ""prize_year"": ""1944"", ""pub_year"": ""1938.0"", ""title"": ""a new method of measuring nuclear magnetic moment"", ""paper_id"": ""2037363234.0"", ""doi"": ""10.1103/PhysRev.53.318"", ""journal"": ""physical review""}]"
"karle, j","hauptman, h",Chemistry,Chemistry,1985,1985,1985,1,1,"[{""category"": ""Chemistry"", ""prize_year"": ""1985"", ""pub_year"": ""1956"", ""title"": ""a theory of phase determination for the four types of non centrosymmetric space groups 1p222 2p22 3p12 3p22"", ""paper_id"": ""2011912423"", ""doi"": ""10.1107/S0365110X56001741"", ""journal"": ""acta crystallographica""}]"
"joliot, f","curie, i",Chemistry,Chemistry,1935,1935,1935,1,1,"[{""category"": ""Chemistry"", ""prize_year"": ""1935"", ""pub_year"": ""1934"", ""title"": ""artificial production of a new kind of radio element"", ""paper_id"": ""1973083520"", ""doi"": ""10.1038/133201a0"", ""journal"": ""nature""}]"
"beadle, gw","tatum, el",Medicine,Medicine,1958,1958,1958,1,1,"[{""category"": ""Medicine"", ""prize_year"": ""1958"", ""pub_year"": ""1941"", ""title"": ""genetic control of biochemical reactions in neurospora"", ""paper_id"": ""1982444105"", ""doi"": ""10.1073/pnas.27.11.499"", ""journal"": ""proceedings of the national academy of sciences of the united states of america""}]"
