node_name,category,prize_year,photo
"akasaki, isamu",Physics,2014,placeholders/placeholder_1.svg
"amano, hiroshi",Physics,2014,placeholders/placeholder_2.svg
"bardeen, j",Physics,1972,placeholders/placeholder_3.svg
"beadle, gw",Medicine,1958,placeholders/placeholder_4.svg
"curie, i",Chemistry,1935,placeholders/placeholder_5.svg
"hauptman, h",Chemistry,1985,placeholders/placeholder_6.svg
"joliot, f",Chemistry,1935,placeholders/placeholder_1.svg
"kajita, t",Physics,2015,placeholders/placeholder_2.svg
"karle, j",Chemistry,1985,placeholders/placeholder_3.svg
"koshiba, m",Physics,2002,placeholders/placeholder_4.svg
"kusch, p",Physics,1955,placeholders/placeholder_5.svg
"penzias, aa",Physics,1978,placeholders/placeholder_6.svg
"rabi, ii",Physics,1944,placeholders/placeholder_1.svg
"reines, f",Physics,1995,placeholders/placeholder_2.svg
"schawlow, al",Physics,1981,placeholders/placeholder_3.svg
"schrieffer, jr",Physics,1972,placeholders/placeholder_4.svg
"schwartz, m",Physics,1988,placeholders/placeholder_5.svg
"shockley, w",Physics,1956,placeholders/placeholder_6.svg
"steinberger, j",Physics,1988,placeholders/placeholder_1.svg
"tatum, el",Medicine,1958,placeholders/placeholder_2.svg
"townes, ch",Physics,1964,placeholders/placeholder_3.svg
"wilson, rw",Physics,1978,placeholders/placeholder_4.svg
