laureate_a_id,laureate_b_id,laureate_a_name,laureate_b_name,shared_count,sample_paper,sample_title
30071,30072,"brown, ms","goldstein, jl",345,https://openalex.org/W1980092242,
10016,10017,"novoselov, kostya s.","geim, andre k.",140,https://openalex.org/W1685717152,
20041,20043,"heeger, a","macdiarmid, a",114,https://openalex.org/W2000407343,
10111,10139,"bardeen, j","bardeen, j",112,https://openalex.org/W1964753132,
10057,10100,"perl, ml","richter, b",102,https://openalex.org/W2076506992,
30063,30064,"varmus, he","bishop, jm",94,https://openalex.org/W2073614478,
10048,10049,"stormer, hl","tsui, dc",65,https://openalex.org/W2070252507,
10074,10075,"muller, ka","bednorz, jg",52,https://openalex.org/W2007068603,
20081,20114,"sanger, f","sanger, f",45,https://openalex.org/W2040403824,
30066,30067,"hitchings, gh","elion, gb",41,https://openalex.org/W2018506030,
30080,30082,"hubel, dh","wiesel, tn",40,https://openalex.org/W2116360511,
10066,10067,"friedman, ji","kendall, hw",39,https://openalex.org/W2043317984,
30005,30007,"moser, ei","moser, mb",38,https://openalex.org/W2004974848,
30141,30142,"richards, dw","cournand, a",37,https://openalex.org/W2115433861,
20017,20084,"negishi, e","brown, h",36,https://openalex.org/W4233084039,
10014,10015,"schmidt, bp","riess, adam g.",30,https://openalex.org/W2156856858,
10137,10138,"lee, td","yang, cn",29,https://openalex.org/W2009768419,
10040,10042,"cornell, ea","wiemann, ce",28,https://openalex.org/W2057010378,
10076,10077,"binnig, g","rohrer, h",26,https://openalex.org/W2084635172,
30057,30058,"fischer, eh","krebs, eg",25,https://openalex.org/W1983058690,
30157,30159,"cori, gt","cori, cf",25,1022879254,
20051,20052,"smalley, r","curl, r",24,https://openalex.org/W1969921866,
20018,20084,"suzuki, a","brown, h",23,https://openalex.org/W2335358516,
20094,20095,"stein, w","moore, s",23,https://openalex.org/W2017470279,
20013,20014,"lefkowitz, r","kobilka, b",22,https://openalex.org/W2006913937,
20035,20060,"wuthrich, k","ernst, r",22,https://openalex.org/W2009176263,
20064,20066,"deisenhofer, j","michel, h",20,https://openalex.org/W2179324273,
30020,30022,"barresinoussi, f","montagnier, l",20,https://openalex.org/W2157966890,
20125,20126,"alder, k","diels, o",19,https://openalex.org/W2061423972,
30048,30049,zinkerna.rm,"doherty, pc",19,https://openalex.org/W2069417575,
20088,20136,"prelog, v","ruzicka, l",18,https://openalex.org/W2000538366,
30164,30165,"erlanger, j","gasser, hs",18,https://openalex.org/W2596537114,
10026,10027,"mather, jc","smoot, gf",17,https://openalex.org/W1554214697,
20064,20065,"deisenhofer, j","huber, r",17,https://openalex.org/W2093572741,
10030,10086,"hansch, tw","schawlow, al",16,https://openalex.org/W1977431015,
10054,10056,"lee, dm","richards, rc",16,https://openalex.org/W2056792405,
20053,20055,"molina, m","rowland, f",14,https://openalex.org/W2035096521,
10122,10124,"prokhorov, am","basov, ng",13,https://openalex.org/W2040375028,
20061,30077,"corey, e",samuelss.b,13,https://openalex.org/W2028868263,
20101,20102,"norrish, r","porter, g",13,https://openalex.org/W2057382995,
30127,30128,"hodgkin, al","huxley, af",13,https://openalex.org/W1999483147,
20003,20068,"sauvage, j","lehn, j",12,https://openalex.org/W2086145780,
30059,30060,"sakmann, b","neher, e",12,https://openalex.org/W1971880089,
30121,30123,"monod, j","jacob, f",12,https://openalex.org/W2094396480,
10044,10122,"alferov, zi","prokhorov, am",11,https://openalex.org/W2067843770,
10065,10067,"taylor, re","kendall, hw",11,https://openalex.org/W1497196551,
20079,20105,"hoffmann, r","woodward, r",11,https://openalex.org/W2004468921,
10037,10058,"koshiba, m","reines, f",10,https://openalex.org/W1991708271,
20001,20003,"stoddart, j","sauvage, j",10,https://openalex.org/W2148668078,
20030,20031,"ciechanover, a","hershko, a",10,https://openalex.org/W3148160989,
20041,20042,"heeger, a",shirakaw.h,10,https://openalex.org/W1995090713,
30091,30092,"schally, av",guillemi.r,10,https://openalex.org/W2082720586,
10063,10073,"charpak, g","lederman, lm",9,https://openalex.org/W2096719377,
10065,10066,"taylor, re","friedman, ji",9,https://openalex.org/W1497196551,
20050,20051,"kroto, h","smalley, r",9,https://openalex.org/W1969921866,
