node_name,laureate_id,category,prize_year,pub_year
"zeeman, p",10193,Physics,1902,1897
"lenard, p",10192,Physics,1905,1894
joseph john thomson,10191,Physics,1906,1897
albert a. michelson,10190,Physics,1907,1887
"rutherford, e",20163,Chemistry,1908,1902
"wien, w",10189,Physics,1911,1983
"carrel, a",30189,Medicine,1912,1906
victor grignard,20162,Chemistry,1912,1900
charles robert richet,30188,Medicine,1913,1902
"onnes, hk",10188,Physics,1913,1911
"laue, m",10187,Physics,1914,1913
"richards, t",20161,Chemistry,1914,1903
"bragg, wh",10186,Physics,1915,1913
"bragg, wl",10185,Physics,1915,1913
"willstatter, r",20160,Chemistry,1915,1913
"barkla, cg",10184,Physics,1917,1906
"haber, f",20159,Chemistry,1918,1913
"planck, m",10183,Physics,1918,1901
"stark, j",10182,Physics,1919,1914
charles edouard guillaume,10181,Physics,1920,1919
"krogh, a",30187,Medicine,1920,1919
"nernst, w",20158,Chemistry,1920,1911
"einstein, a",10180,Physics,1921,1905
"soddy, f",20157,Chemistry,1921,1915
"aston, f",20156,Chemistry,1922,1919
"bohr, n",10179,Physics,1922,1913
"hill, av",30186,Medicine,1922,1910
"meyerhof, o",30185,Medicine,1922,1919
"banting, fg",30184,Medicine,1923,1922
fritz pregl,20155,Chemistry,1923,1905
"macleod, jjr",30183,Medicine,1923,1921
"millikan, ra",10178,Physics,1923,1910
"einthoven, w",30182,Medicine,1924,1903
"siegbahn, m",10177,Physics,1924,1916
"franck, j",10176,Physics,1925,1916
gustav hertz,10175,Physics,1925,1916
"zsigmondy, r",20154,Chemistry,1925,1902
"perrin, j",10174,Physics,1926,1908
"svedberg, t",20153,Chemistry,1926,1924
"compton, ah",10172,Physics,1927,1923
"wieland, h",20152,Chemistry,1927,1922
"wilson, ctr",10173,Physics,1927,1911
"nicolle, c",30181,Medicine,1928,1909
"richardson, ow",10171,Physics,1928,1901
"windaus, a",20151,Chemistry,1928,1924
"broglie, ld",10170,Physics,1929,1924
"harden, a",20149,Chemistry,1929,1906
"hopkins, fg",30180,Medicine,1929,1912
"von euler, h",20150,Chemistry,1929,1926
"fischer, h",20148,Chemistry,1930,1894
"raman, cv",10169,Physics,1930,1928
carl bosch,20146,Chemistry,1931,1913
"warburg, o",30179,Medicine,1931,1928
"adrian, ed",30178,Medicine,1932,1929
"heisenberg, w",10168,Physics,1932,1928
"langmuir, i",20145,Chemistry,1932,1918
"dirac, pam",10167,Physics,1933,1928
"morgan, th",30177,Medicine,1933,1916
"schrodinger, e",10166,Physics,1933,1926
"minot, gr",30174,Medicine,1934,1926
"murphy, wp",30176,Medicine,1934,1926
"urey, h",20144,Chemistry,1934,1932
"whipple, gh",30175,Medicine,1934,1920
"chadwick, j",10165,Physics,1935,1932
"curie, i",20143,Chemistry,1935,1934
"joliot, f",20142,Chemistry,1935,1934
"spemann, h",30173,Medicine,1935,1924
"anderson, cd",10164,Physics,1936,1933
"dale, hh",30171,Medicine,1936,1914
"debye, p",20141,Chemistry,1936,1912
"loewi, o",30172,Medicine,1936,1924
victor f. hess,10163,Physics,1936,1912
"davisson, cj",10161,Physics,1937,1927
"gyorgyi, as",30170,Medicine,1937,1932
"haworth, w",20139,Chemistry,1937,1928
"karrer, p",20140,Chemistry,1937,1931
"thomson, gp",10162,Physics,1937,1927
"fermi, e",10160,Physics,1938,1934
"heymans, c",30169,Medicine,1938,1931
"kuhn, r",20138,Chemistry,1938,1933
"butenandt, a",20137,Chemistry,1939,1934
"domagk, g",30168,Medicine,1939,1935
"lawrence, eo",10159,Physics,1939,1931
"ruzicka, l",20136,Chemistry,1939,1923
"dam, h",30167,Medicine,1943,1935
"doisy, ea",30166,Medicine,1943,1939
"hevesy, g",20135,Chemistry,1943,1923
"stern, o",10158,Physics,1943,1922
"erlanger, j",30164,Medicine,1944,1925
"gasser, hs",30165,Medicine,1944,1925
"hahn, o",20134,Chemistry,1944,1939
"rabi, ii",10157,Physics,1944,1938
"chain, e",30161,Medicine,1945,1941
