year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,laureats_name,prize_winning_abbreviations,birth_date,birth_city,birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country
1901,Chemistry,The Nobel Prize in Chemistry 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",1月1日,160,Individual,Jacobus Henricus van 't Hoff,,,1852-08-30,Rotterdam,Netherlands,Male,Berlin University,Berlin,Germany,1911/3/1,Berlin,Germany
1901,Literature,The Nobel Prize in Literature 1901,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""",1月1日,569,Individual,Sully Prudhomme,,,1839-03-16,Paris,France,Male,NA,NA,NA,1907/9/7,Chatenay,France
1901,Medicine,The Nobel Prize in Physiology or Medicine 1901,"""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",1月1日,293,Individual,Emil Adolf von Behring,,,1854-03-15,Hansdorf (Lawice),Prussia (Poland),Male,Marburg University,Marburg,Germany,1917/3/31,Marburg,Germany
1901,Peace,The Nobel Peace Prize 1901,NA,1月2日,462,Individual,Jean Henry Dunant,,,1828-05-08,Geneva,Switzerland,Male,NA,NA,NA,1910/10/30,Heiden,Switzerland
1901,Peace,The Nobel Peace Prize 1901,NA,1月2日,463,Individual,Frédéric Passy,,,1822-05-20,Paris,France,Male,NA,NA,NA,1912/6/12,Paris,France
1901,Physics,The Nobel Prize in Physics 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",1月1日,1,Individual,Wilhelm Conrad R?ntgen,,,1845-03-27,Lennep (Remscheid),Prussia (Germany),Male,Munich University,Munich,Germany,1923/2/10,Munich,Germany
1902,Chemistry,The Nobel Prize in Chemistry 1902,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",1月1日,161,Individual,Hermann Emil Fischer,,,1852-10-09,Euskirchen,Prussia (Germany),Male,Berlin University,Berlin,Germany,1919/7/15,Berlin,Germany
1902,Literature,The Nobel Prize in Literature 1902,"""the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>""",1月1日,571,Individual,Christian Matthias Theodor Mommsen,,,1817-11-30,Garding,Schleswig (Germany),Male,NA,NA,NA,1903/11/1,Charlottenburg,Germany
1902,Medicine,The Nobel Prize in Physiology or Medicine 1902,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",1月1日,294,Individual,Ronald Ross,,,1857-05-13,Almora,India,Male,University College,Liverpool,United Kingdom,1932/9/16,Putney Heath,United Kingdom
1902,Peace,The Nobel Peace Prize 1902,NA,1月2日,464,Individual,élie Ducommun,,,1833-02-19,Geneva,Switzerland,Male,NA,NA,NA,1906/12/7,Bern,Switzerland
